"id","description","last_updated"
"320304","MILK, 2% ","2019-04-01"
"320305","MILK, 2% ","2019-04-01"
"320306","MILK, 2% (WAVE 22E)","2019-04-01"
"320307","MILK, 2% (WAVE 22E)","2019-04-01"
"320308","MILK, 2% (WAVE 22E)","2019-04-01"
"320309","MILK, 2% ","2019-04-01"
"320310","MILK, 2% ","2019-04-01"
"320311","MILK, 2% ","2019-04-01"
"320312","MILK, 2% (WAVE 22E)","2019-04-01"
"320313","MILK, 2% (WAVE 22E)","2019-04-01"
"320314","MILK, 2% (WAVE 22E)","2019-04-01"
"320315","MILK, 2% ","2019-04-01"
"320316","MILK, 2% ","2019-04-01"
"320317","MILK, 2% ","2019-04-01"
"320318","MILK, 2% ","2019-04-01"
"320319","MILK, 2% ","2019-04-01"
"320320","MILK, 2% ","2019-04-01"
"320321","MILK, 2% ","2019-04-01"
"320322","MILK, 2% ","2019-04-01"
"320323","MILK, 2% ","2019-04-01"
"320324","MILK, 2% ","2019-04-01"
"320325","Milk, 2%","2019-04-01"
"320326","Milk, 2%","2019-04-01"
"320327","Milk, 2%","2019-04-01"
"320328","Milk, 2%","2019-04-01"
"320329","Milk, 2%","2019-04-01"
"320330","MILK, 2% (WAVE 22E)","2019-04-01"
"320331","MILK, 2% (WAVE 22E)","2019-04-01"
"320332","MILK, 2% (WAVE 22E)","2019-04-01"
"320333","MILK, 2% (WAVE 22E)","2019-04-01"
"320334","MILK, 2% ","2019-04-01"
"320335","MILK, 2% ","2019-04-01"
"320336","MILK, 2% ","2019-04-01"
"320337","MILK, 2% ","2019-04-01"
"320338","MILK, 2% ","2019-04-01"
"320339","MILK, 2% ","2019-04-01"
"320340","MILK, 2% ","2019-04-01"
"320341","MILK, 2% ","2019-04-01"
"320342","MILK, 2% ","2019-04-01"
"320343","MILK, 2% ","2019-04-01"
"320344","Milk, 2%","2019-04-01"
"320345","Milk, 2%","2019-04-01"
"320346","Milk, 2%","2019-04-01"
"320347","Milk, 2%","2019-04-01"
"320348","Milk, 2%","2019-04-01"
"320349","Milk, 2%","2019-04-01"
"320350","MILK, 2% (WAVE 22E)","2019-04-01"
"320351","MILK, 2% (WAVE 22E)","2019-04-01"
"320353","Beef, Eye of Round roast/steak, lean only, raw, animal 5, select","2019-04-01"
"320354","Beef, eye of round roast, raw (ER37-R-5)","2019-04-01"
"320355","Beef, eye of round steak, raw (ES36-R-5) ","2019-04-01"
"320356","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select","2019-04-01"
"320357","Beef,  Eye of Round roast/steak, select, raw, comp13, lean (36BRERS/37BRERRS)","2019-04-01"
"320358","Beef, eye of round roast, raw (ER37-R-10)","2019-04-01"
