"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"321424","SALT, GREAT VALUE, IODIZED","2023-03-15","","NE1","","","3W0748","","HASTINGS","WALMART","NE","78742353388"
"321430","SALT, HY VEE, IODIZED","2023-01-22","","IA","","","3W0228X","","ESTHERVILLE","HYVEE FOOD STORE","IA","75450047493"
"321436","SALT, MORTON, IODIZED","","","PA1","","","SS17347020","","PITTSBURGH","SHOP N SAVE","PA","24600010030"
"321442","SALT, MORTON, IODIZED","","","AZ1","","","HU17347028","","TUCSON","BASHAS MARKET","AZ","24600010030"
"321447","SALT, MORTON, IODIZED","","","IA","","","HU18029014","","ESTHERVILLE","HYVEE FOOD STORE","IA","24600010030"
"321453","SALT, GREAT VALUE, IODIZED","2023-03-26","","NC1","","","3W0858X","","ROANOKE RAPIDS","WALMART","NC","78742353388"
"321459","SALT, SIGNATURE KITCHENS, IODIZED","2022-06-10","","CA2","","","1W617","","BONITA","VONS MARKET","CA","21130520015"
"321465","SALT, FOOD CLUB, IODIZED","2023-01-01","","AZ1","","","A8TB19","","TUCSON","BASHAS MARKET","AZ","36800510166"
"321476","SALT, SHOP RITE, IODIZED","2023-02-15","","NJ1","","","1W 0468","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190001057"
"321482","SALT, MORTON, IODIZED","","","KY1","","","SS18073011","","HARRODSBURG","WALMART","KY","24600010030"
"321488","SALT, GREAT VALUE, IODIZED","2023-02-16","","KY1","","","1W 0478X","","HARRODSBUG","WALMART","KY","78742353388"
"321494","SALT, MORTON, IODIZED","","","NJ1","","","SS18046018","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24600010030"
"321500","SALT, GREAT VALUE, IODIZED","2023-04-02","","IN1","","","3W0928","","NEWBURGH","WALMART SUPERMARKET","IN","78742353388"
"321507","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-03","","AZ1","","","7AT 421616 300:29","","TUCSON","BASHAS MARKET","AZ","24000162865"
"321508","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-07-14","","AZ1","","","7AT 421616 316:25","","TUCSON","BASHAS MARKET","AZ","24000162865"
"321509","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2016-07-24","","IN1","","","7AT 320616 218:42","","NEWBURGH","SCHNUCK MARKET","IN","24000018308"
"321513","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-20","","NJ1","","","7AT 423316 520:36","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24000162865"
"321514","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-09-11","","NJ1","","","7AT 425516 421:49","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24000162865"
"321515","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-20","","NJ1","","","7AT 423316 520:36","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24000162865"
"321516","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-10-31","","GA1","","","7AT 430550 2606:09","","LOCUST GROVE","INGLES SUPERMARKET","GA","24000162865"
"321517","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-10-31","","GA1","","","7AT 430550 2606:07","","LOCUST GROVE","INGLES SUPERMARKET","GA","24000162865"
"321518","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-10-31","","GA1","","","7AT 430550 2606:08","","LOCUST GROVE","INGLES SUPERMARKET","GA","24000162865"
"321522","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-31","","NE1","","","7EC 424416 117:30","","HASTINGS","WALMART SUPERCENTER","NE","24000162865"
"321523","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-31","","NE1","","","7EC 424416 117:31","","HASTINGS","WALMART SUPERCENTER","NE","24000162865"
"321524","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-07-03","","NC1","","","7AT 418516 218:27","","ROANOKE RAPIDS","FOOD LION","NC","24000018308"
"321529","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-15","","PA1","","","7AT 422816 302:17","","PITTSBURGH","SHOP N SAVE","PA","24000162865"
"321530","BEANS, SNAP, CANNED, DRAINED, DEL MONTE","2017-08-15","","PA1","","","7AT 422816 302:17","","PITTSBURGH","SHOP N SAVE","PA","24000162865"
