"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"10870","325871","325760","","","","","","","","","",""
"10868","325871","325746","","","","","","","","","",""
"10877","325871","325825","","","","","","","","","",""
"10879","325871","325856","","","","","","","","","",""
"10858","325871","325659","","","","","","","","","",""
"10873","325871","325781","","","","","","","","","",""
"10869","325871","325753","","","","","","","","","",""
"10859","325871","325669","","","","","","","","","",""
"10863","325871","325708","","","","","","","","","",""
"10875","325871","325795","","","","","","","","","",""
"10862","325871","325698","","","","","","","","","",""
"10861","325871","325689","","","","","","","","","",""
"10860","325871","325679","","","","","","","","","",""
"10865","325871","325725","","","","","","","","","",""
"10872","325871","325774","","","","","","","","","",""
"10876","325871","325810","","","","","","","","","",""
"10864","325871","325718","","","","","","","","","",""
"10871","325871","325767","","","","","","","","","",""
"10878","325871","325841","","","","","","","","","",""
"10882","325992","325891","","","","","","","","","",""
"10886","325992","325956","","","","","","","","","",""
"10884","325992","325929","","","","","","","","","",""
"10883","325992","325910","","","","","","","","","",""
"10880","325992","325872","","","","","","","","","",""
"10881","325992","325881","","","","","","","","","",""
"10887","325992","325970","","","","","","","","","",""
"10885","325992","325948","","","","","","","","","",""
"10898","326135","326100","","","","","","","","","",""
"10897","326135","326082","","","","","","","","","",""
"10893","326135","326030","","","","","","","","","",""
"10891","326135","326010","","","","","","","","","",""
"10896","326135","326076","","","","","","","","","",""
"10892","326135","326024","","","","","","","","","",""
"10899","326135","326114","","","","","","","","","",""
"10894","326135","326051","","","","","","","","","",""
"10895","326135","326057","","","","","","","","","",""
"10888","326135","325993","","","","","","","","","",""
"10890","326135","326004","","","","","","","","","",""
"10889","326135","325998","","","","","","","","","",""
"10903","326196","326151","","","","","","","","","",""
"10900","326196","326136","","","","","","","","","",""
"10902","326196","326146","","","","","","","","","",""
"10904","326196","326165","","","","","","","","","",""
"10901","326196","326141","","","","","","","","","",""
"10905","326196","326180","","","","","","","","","",""
"10913","326458","326333","","","","","","","","","",""
"10914","326458","326380","","","","","","","","","",""
"10911","326458","326314","","","","","","","","","",""
"10906","326458","326197","","","","","","","","","",""
"10909","326458","326237","","","","","","","","","",""
"10915","326458","326399","","","","","","","","","",""
"10908","326458","326265","","","","","","","","","",""
"10912","326458","326351","","","","","","","","","",""
"10910","326458","326285","","","","","","","","","",""
"10907","326458","326217","","","","","","","","","",""
"10916","326458","326427","","","","","","","","","",""
"10921","326698","326487","","","","","","","","","",""
"10918","326698","326466","","","","","","","","","",""
"10927","326698","326572","","","","","","","","","",""
"10925","326698","326537","","","","","","","","","",""
"10919","326698","326473","","","","","","","","","",""
"10926","326698","326558","","","","","","","","","",""
"10924","326698","326529","","","","","","","","","",""
"10923","326698","326510","","","","","","","","","",""
"10917","326698","326459","","","","","","","","","",""
"10922","326698","326494","","","","","","","","","",""
"10920","326698","326480","","","","","","","","","",""
"10930","326698","326636","","","","","","","","","",""
"10931","326698","326667","","","","","","","","","",""
"10929","326698","326605","","","","","","","","","",""
"10928","326698","326591","","","","","","","","","",""
"10938","326905","326854","","","","","","","","","",""
"10935","326905","326780","","","","","","","","","",""
"10939","326905","326880","","","","","","","","","",""
"10932","326905","326699","","","","","","","","","",""
"10933","326905","326724","","","","","","","","","",""
"10936","326905","326806","","","","","","","","","",""
"10937","326905","326832","","","","","","","","","",""
"10934","326905","326749","","","","","","","","","",""
"10941","327046","326918","","","","","","","","","",""
"10946","327046","327019","","","","","","","","","",""
"10940","327046","326906","","","","","","","","","",""
"10945","327046","326999","","","","","","","","","",""
"10942","327046","326938","","","","","","","","","",""
"10947","327046","327030","","","","","","","","","",""
"10943","327046","326959","","","","","","","","","",""
"10944","327046","326978","","","","","","","","","",""
"10949","327198","327065","","","","","","","","","",""
"10950","327198","327085","","","","","","","","","",""
"10948","327198","327047","","","","","","","","","",""
"10953","327198","327142","","","","","","","","","",""
"10952","327198","327124","","","","","","","","","",""
"10954","327198","327160","","","","","","","","","",""
"10955","327198","327179","","","","","","","","","",""
"10951","327198","327105","","","","","","","","","",""
"10962","327357","327317","","","","","","","","","",""
"10956","327357","327199","","","","","","","","","",""
"10963","327357","327336","","","","","","","","","",""
"10957","327357","327217","","","","","","","","","",""
"10958","327357","327236","","","","","","","","","",""
"10959","327357","327258","","","","","","","","","",""
"10960","327357","327278","","","","","","","","","",""
"10961","327357","327298","","","","","","","","","",""
"10965","327501","327374","","","","","","","","","",""
"10968","327501","327428","","","","","","","","","",""
"10971","327501","327485","","","","","","","","","",""
"10966","327501","327391","","","","","","","","","",""
"10970","327501","327466","","","","","","","","","",""
"10969","327501","327448","","","","","","","","","",""
"10967","327501","327408","","","","","","","","","",""
"10964","327501","327358","","","","","","","","","",""
"10979","327699","327675","","","","","","","","","",""
"10975","327699","327578","","","","","","","","","",""
"10972","327699","327502","","","","","","","","","",""
"10974","327699","327552","","","","","","","","","",""
"10977","327699","327626","","","","","","","","","",""
"10978","327699","327652","","","","","","","","","",""
"10973","327699","327527","","","","","","","","","",""
"10976","327699","327602","","","","","","","","","",""
"10990","327923","327826","","","","","","","","","",""
"10993","327923","327899","","","","","","","","","",""
"10992","327923","327875","","","","","","","","","",""
"10980","327923","327700","","","","","","","","","",""
"10981","327923","327706","","","","","","","","","",""
"10987","327923","327760","","","","","","","","","",""
"10984","327923","327728","","","","","","","","","",""
"10988","327923","327781","","","","","","","","","",""
"10991","327923","327851","","","","","","","","","",""
"10985","327923","327735","","","","","","","","","",""
"10983","327923","327720","","","","","","","","","",""
"10986","327923","327742","","","","","","","","","",""
"10989","327923","327803","","","","","","","","","",""
"10982","327923","327713","","","","","","","","","",""
"10999","328637","327998","","","","","","","","","",""
"11027","328637","328442","","","","","","","","","",""
"11013","328637","328227","","","","","","","","","",""
"11009","328637","328153","","","","","","","","","",""
"11028","328637","328454","","","","","","","","","",""
"11006","328637","328114","","","","","","","","","",""
"11034","328637","328549","","","","","","","","","",""
"10997","328637","327960","","","","","","","","","",""
